Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
95,58,1,19,Clothing,76,27,S,Silver,Spring,4.6,1,0,2,Yes,1,28,2,6
96,37,1,20,Footwear,100,24,L,Pink,Fall,3.8,1,4,2,Yes,1,48,4,4
97,32,1,6,Accessories,73,7,S,Gold,Spring,3.6,1,5,1,Yes,1,43,5,2
98,21,1,17,Footwear,92,45,M,Teal,Winter,4.8,1,4,5,Yes,1,37,1,0
99,20,1,11,Clothing,67,31,XL,Teal,Spring,2.6,1,1,3,Yes,1,20,0,0
100,26,1,9,Clothing,40,24,XL,Indigo,Summer,3.7,1,1,1,Yes,1,33,3,5
101,62,1,22,Accessories,98,40,M,Maroon,Fall,2.7,1,4,1,Yes,1,31,1,3
102,27,1,4,Outerwear,85,33,XL,White,Spring,4.6,1,5,1,Yes,1,50,2,1
103,51,1,21,Clothing,67,35,L,Violet,Winter,4.8,1,2,3,Yes,1,35,2,5
104,54,1,3,Footwear,89,47,L,Red,Winter,4.0,1,3,3,Yes,1,22,5,1
105,55,1,22,Accessories,24,28,L,Pink,Spring,4.4,1,0,0,Yes,1,1,4,4
106,69,1,0,Accessories,96,31,M,Charcoal,Fall,3.6,1,0,3,Yes,1,4,0,0
107,64,1,10,Outerwear,35,22,L,White,Summer,3.7,1,1,4,Yes,1,31,2,4
108,28,1,20,Footwear,67,19,L,Olive,Winter,3.1,1,1,3,Yes,1,46,4,3
109,70,1,21,Clothing,79,25,L,Purple,Spring,3.4,1,0,3,Yes,1,32,0,1
110,58,1,24,Clothing,85,0,M,Violet,Spring,2.6,1,1,3,Yes,1,43,0,3
111,56,1,0,Accessories,26,31,M,Black,Summer,4.0,1,0,4,Yes,1,26,5,3
112,26,1,1,Accessories,75,20,L,Purple,Summer,5.0,1,4,2,Yes,1,9,2,0
113,37,1,6,Accessories,65,8,M,Red,Spring,4.3,1,2,2,Yes,1,28,4,1
114,44,1,8,Accessories,54,29,L,Maroon,Winter,3.1,1,3,3,Yes,1,20,4,5
115,70,1,4,Outerwear,95,20,S,Blue,Summer,3.7,1,5,5,Yes,1,9,1,6
116,53,1,19,Clothing,94,49,M,Gray,Spring,3.8,1,1,4,Yes,1,48,3,2
117,55,1,17,Footwear,86,45,S,Blue,Spring,3.4,1,4,2,Yes,1,12,5,0
118,50,1,14,Footwear,32,40,L,Yellow,Summer,4.6,1,0,1,Yes,1,29,1,3
119,50,1,23,Clothing,45,16,L,Orange,Fall,4.8,1,0,0,Yes,1,27,1,1
120,38,1,4,Outerwear,76,49,M,Orange,Fall,4.3,1,3,1,Yes,1,44,1,0
121,64,1,8,Accessories,84,47,L,Red,Summer,4.0,1,4,1,Yes,1,32,0,0
122,19,1,18,Clothing,72,45,M,Olive,Winter,4.2,1,1,4,Yes,1,11,1,3
123,40,1,0,Accessories,40,46,L,Brown,Spring,4.8,1,2,0,Yes,1,44,1,3
124,57,1,23,Clothing,89,17,L,Brown,Fall,3.1,1,3,2,Yes,1,46,1,6
125,44,1,23,Clothing,86,27,M,Gray,Spring,3.1,1,4,3,Yes,1,50,4,0
126,49,1,18,Clothing,54,4,M,Indigo,Winter,3.6,1,1,3,Yes,1,45,5,2
127,43,1,18,Clothing,36,23,L,Pink,Spring,3.9,1,0,5,Yes,1,48,1,2
128,24,1,23,Clothing,89,23,M,Gray,Winter,4.8,1,5,3,Yes,1,26,2,6
129,20,1,15,Accessories,32,4,M,Gold,Spring,4.7,1,5,4,Yes,1,21,2,3
130,24,1,5,Clothing,67,37,XL,Olive,Summer,4.2,1,1,0,Yes,1,49,4,1
131,44,1,15,Accessories,39,16,L,Violet,Fall,3.7,1,2,3,Yes,1,13,4,3
132,28,1,19,Clothing,29,18,L,Indigo,Summer,3.9,1,4,4,Yes,1,46,2,6
133,30,1,0,Accessories,58,30,M,Orange,Fall,4.7,1,0,0,Yes,1,42,4,6
134,52,1,23,Clothing,65,25,M,Violet,Winter,2.5,1,0,3,Yes,1,25,5,0
135,43,1,8,Accessories,94,42,L,Gray,Fall,4.9,1,2,5,Yes,1,25,1,4
136,43,1,14,Footwear,81,15,M,Purple,Fall,4.1,1,4,1,Yes,1,12,4,5
137,39,1,2,Clothing,86,39,M,White,Winter,3.3,1,2,2,Yes,1,4,3,5
138,68,1,20,Footwear,43,5,M,Turquoise,Spring,4.7,1,1,2,Yes,1,38,4,6
139,68,1,19,Clothing,29,9,M,Maroon,Winter,4.4,1,1,5,Yes,1,42,0,6
140,49,1,4,Outerwear,95,8,M,White,Fall,3.8,1,3,5,Yes,1,30,5,0
141,63,1,16,Clothing,28,32,L,Yellow,Fall,3.9,1,0,0,Yes,1,50,2,6
142,56,1,6,Accessories,46,45,M,Turquoise,Fall,4.9,1,4,2,Yes,1,45,4,6
143,37,1,10,Outerwear,58,26,L,Violet,Fall,3.1,1,4,2,Yes,1,33,2,3
144,30,1,4,Outerwear,48,24,M,Beige,Fall,2.7,1,0,5,Yes,1,25,4,5
145,19,1,17,Footwear,43,29,M,Silver,Fall,3.2,1,2,1,Yes,1,25,1,4
146,24,1,12,Accessories,95,24,M,Teal,Fall,4.5,1,5,4,Yes,1,44,3,5
147,52,1,19,Clothing,30,5,S,Black,Fall,4.0,1,3,4,Yes,1,21,5,3
148,63,1,17,Footwear,64,11,M,Purple,Summer,3.5,1,0,0,Yes,1,31,0,3
149,37,1,6,Accessories,90,49,M,Gray,Fall,2.6,1,4,5,Yes,1,47,3,0
150,38,1,13,Clothing,76,7,M,White,Summer,3.2,1,5,2,Yes,1,14,4,4
151,35,1,3,Footwear,96,4,L,Cyan,Fall,4.9,1,0,4,Yes,1,17,3,2
152,28,1,22,Accessories,47,33,L,Turquoise,Fall,4.5,1,3,3,Yes,1,3,5,0
153,30,1,16,Clothing,85,39,S,Brown,Summer,4.3,1,4,1,Yes,1,42,5,0
154,69,1,9,Clothing,55,32,M,Maroon,Winter,3.2,1,3,4,Yes,1,22,3,0
155,41,1,5,Clothing,98,35,M,Charcoal,Fall,3.6,1,3,3,Yes,1,21,5,5
156,63,1,21,Clothing,77,18,S,Olive,Spring,4.3,1,1,2,Yes,1,21,0,5
157,35,1,18,Clothing,26,24,M,Lavender,Fall,4.0,1,5,4,Yes,1,40,3,0
158,36,1,8,Accessories,68,44,S,Yellow,Fall,3.0,1,3,3,Yes,1,1,0,3
159,25,1,16,Clothing,73,6,XL,Teal,Fall,4.1,1,0,4,Yes,1,50,0,4
160,58,1,6,Accessories,27,28,M,Charcoal,Fall,3.8,1,3,5,Yes,1,39,0,2
161,27,1,6,Accessories,23,42,M,Orange,Summer,4.6,1,0,2,Yes,1,34,5,4
162,65,1,0,Accessories,49,33,M,Olive,Fall,3.0,1,5,1,Yes,1,29,5,3
163,54,1,22,Accessories,74,4,M,Turquoise,Summer,3.0,1,2,5,Yes,1,31,4,1
164,54,1,19,Clothing,67,45,M,Purple,Summer,3.4,1,4,4,Yes,1,8,3,6
165,59,1,7,Accessories,65,7,S,Purple,Spring,2.6,1,3,2,Yes,1,5,2,3
166,42,1,7,Accessories,60,16,S,Yellow,Winter,2.8,1,2,5,Yes,1,7,1,4
167,46,1,20,Footwear,31,7,XL,Indigo,Fall,4.0,1,1,5,Yes,1,30,1,4
168,33,1,6,Accessories,27,3,M,Green,Fall,4.0,1,5,1,Yes,1,14,2,2
169,34,1,17,Footwear,80,17,M,Magenta,Summer,3.0,1,0,1,Yes,1,5,1,3
170,27,1,10,Outerwear,30,27,S,Gold,Summer,3.3,1,2,4,Yes,1,3,4,2
171,52,1,16,Clothing,25,49,M,Maroon,Fall,2.6,1,5,5,Yes,1,46,5,1
172,29,1,18,Clothing,35,45,M,Blue,Summer,3.6,1,3,5,Yes,1,4,2,6
173,54,1,12,Accessories,67,26,M,Violet,Summer,3.9,1,0,3,Yes,1,42,2,1
174,25,1,8,Accessories,46,10,M,Turquoise,Fall,3.4,1,4,4,Yes,1,30,1,0
175,41,1,17,Footwear,35,44,L,Brown,Winter,3.5,1,5,1,Yes,1,37,5,0
176,53,1,4,Outerwear,86,35,L,Violet,Fall,2.8,1,3,3,Yes,1,2,0,0
177,53,1,0,Accessories,81,28,L,Black,Spring,2.7,1,0,3,Yes,1,30,2,5
178,21,1,9,Clothing,42,15,L,Magenta,Fall,3.7,1,3,3,Yes,1,47,0,4
179,61,1,19,Clothing,43,11,L,Lavender,Fall,4.3,1,3,0,Yes,1,21,4,5
180,64,1,3,Footwear,31,12,M,Violet,Fall,4.9,1,3,5,Yes,1,9,0,3
181,51,1,14,Footwear,81,40,L,Green,Fall,3.3,1,1,5,Yes,1,12,3,3
182,32,1,13,Clothing,61,20,M,Beige,Summer,4.7,1,5,3,Yes,1,4,0,6
183,38,1,6,Accessories,96,0,XL,Purple,Summer,2.8,1,5,5,Yes,1,10,3,0
184,58,1,19,Clothing,29,34,XL,Beige,Spring,3.6,1,0,0,Yes,1,26,2,6
185,32,1,20,Footwear,33,10,L,Cyan,Spring,3.0,1,1,1,Yes,1,40,1,3
186,46,1,24,Clothing,32,48,XL,Silver,Summer,4.5,1,0,5,Yes,1,34,0,3
187,39,1,0,Accessories,56,22,S,Lavender,Summer,2.9,1,3,4,Yes,1,31,3,0
188,19,1,17,Footwear,94,9,S,Purple,Spring,3.3,1,2,5,Yes,1,1,0,1
189,50,1,9,Clothing,53,3,M,Pink,Spring,3.1,1,2,1,Yes,1,5,0,1
190,36,1,2,Clothing,82,47,M,Maroon,Fall,4.4,1,5,3,Yes,1,4,2,6
191,65,1,4,Outerwear,70,13,XL,Beige,Fall,3.0,1,5,2,Yes,1,48,5,5
192,64,1,8,Accessories,76,43,M,Gray,Fall,3.9,1,2,2,Yes,1,29,1,2
193,46,1,17,Footwear,29,26,L,Turquoise,Summer,2.9,1,5,1,Yes,1,12,4,1
194,36,1,1,Accessories,100,33,S,Silver,Fall,3.0,1,4,4,Yes,1,29,5,0
195,51,1,0,Accessories,94,24,M,Olive,Spring,3.1,1,5,1,Yes,1,15,3,5
196,51,1,10,Outerwear,25,31,M,Magenta,Fall,4.3,1,2,2,Yes,1,34,2,4
197,38,1,3,Footwear,88,46,M,Lavender,Summer,3.9,1,1,3,Yes,1,41,2,3
198,59,1,15,Accessories,78,39,M,Black,Fall,3.2,1,3,0,Yes,1,41,2,4
199,57,1,12,Accessories,45,43,M,Turquoise,Winter,4.8,1,1,4,Yes,1,39,2,3
200,54,1,8,Accessories,73,11,XL,Green,Summer,3.8,1,3,1,Yes,1,32,1,6
201,25,1,5,Clothing,61,37,S,Teal,Summer,3.3,1,4,3,Yes,1,29,5,4
202,69,1,2,Clothing,22,24,S,Beige,Fall,4.3,1,0,2,Yes,1,15,0,0
203,57,1,8,Accessories,38,26,L,Magenta,Spring,2.7,1,0,1,Yes,1,33,5,0
204,70,1,15,Accessories,38,13,S,Yellow,Fall,3.2,1,4,3,Yes,1,18,0,6
205,24,1,20,Footwear,100,2,M,Yellow,Fall,4.0,1,4,5,Yes,1,35,1,1
206,67,1,16,Clothing,64,10,M,Silver,Winter,3.0,1,0,4,Yes,1,25,4,6
207,24,1,24,Clothing,55,48,L,Silver,Summer,4.2,1,5,2,Yes,1,6,5,3
208,62,1,6,Accessories,91,38,M,Silver,Summer,2.9,1,5,1,Yes,1,17,0,1
209,57,1,19,Clothing,38,48,M,Gold,Spring,4.1,1,1,5,Yes,1,17,2,4
210,55,1,14,Footwear,97,22,S,Olive,Winter,3.2,1,0,5,Yes,1,44,1,2
211,45,1,10,Outerwear,22,44,L,Teal,Fall,3.0,1,5,0,Yes,1,6,4,3
212,69,1,19,Clothing,92,40,L,Maroon,Fall,4.2,1,5,0,Yes,1,45,3,3
213,67,1,7,Accessories,84,45,L,Blue,Fall,4.2,1,5,1,Yes,1,7,3,0
214,30,1,7,Accessories,93,27,L,Peach,Fall,4.4,1,1,5,Yes,1,11,3,2
215,24,1,10,Outerwear,50,10,L,Blue,Summer,4.2,1,1,3,Yes,1,41,1,2
216,62,1,15,Accessories,64,29,S,Orange,Spring,2.8,1,0,0,Yes,1,24,4,1
217,43,1,18,Clothing,61,20,L,Yellow,Spring,3.7,1,1,2,Yes,1,21,5,6
218,35,1,22,Accessories,48,35,M,Purple,Winter,3.5,1,5,3,Yes,1,24,0,0
219,28,1,24,Clothing,45,4,S,Magenta,Spring,2.9,1,2,5,Yes,1,8,2,5
220,32,1,1,Accessories,88,27,M,Cyan,Spring,3.0,1,5,2,Yes,1,12,1,3
221,39,1,20,Footwear,57,2,S,Indigo,Spring,3.7,1,3,1,Yes,1,48,3,3
222,28,1,8,Accessories,68,32,XL,Magenta,Summer,4.4,1,3,5,Yes,1,6,0,5
223,47,1,6,Accessories,94,31,XL,Gray,Spring,4.5,1,5,0,Yes,1,14,4,3
224,20,1,13,Clothing,41,49,M,Turquoise,Spring,4.8,1,5,2,Yes,1,34,4,0
225,63,1,21,Clothing,83,40,S,Beige,Summer,2.9,1,4,2,Yes,1,12,1,2
226,25,1,10,Outerwear,22,3,M,Olive,Spring,3.2,1,3,3,Yes,1,11,0,0
227,29,1,17,Footwear,74,42,L,Violet,Spring,3.3,1,1,2,Yes,1,5,4,4
228,50,1,11,Clothing,90,38,M,Turquoise,Winter,4.2,1,5,4,Yes,1,25,5,3
229,18,1,21,Clothing,79,28,M,White,Spring,2.9,1,2,5,Yes,1,11,2,0
230,70,1,14,Footwear,28,34,S,Silver,Spring,4.6,1,1,3,Yes,1,27,4,2
231,66,1,15,Accessories,88,43,L,Olive,Fall,4.1,1,5,4,Yes,1,43,2,0
232,28,1,2,Clothing,26,41,M,Blue,Spring,3.1,1,0,0,Yes,1,18,3,2
233,54,1,12,Accessories,27,10,L,Purple,Winter,4.2,1,0,1,Yes,1,32,0,1
234,19,1,23,Clothing,83,2,XL,Yellow,Fall,4.5,1,4,3,Yes,1,27,0,2
235,20,1,6,Accessories,39,40,S,Silver,Summer,3.7,1,4,3,Yes,1,24,2,6
236,43,1,22,Accessories,89,29,M,Cyan,Winter,3.7,1,1,2,Yes,1,31,3,5
237,38,1,4,Outerwear,68,33,L,Green,Winter,3.4,1,3,3,Yes,1,39,4,3
238,50,1,5,Clothing,90,14,M,Beige,Summer,3.0,1,5,5,Yes,1,36,3,3
239,64,1,19,Clothing,34,34,M,Peach,Fall,4.2,1,3,2,Yes,1,5,1,0
240,49,1,13,Clothing,51,44,L,Yellow,Summer,2.9,1,4,1,Yes,1,47,2,1
241,47,1,23,Clothing,45,25,XL,Turquoise,Winter,3.5,1,2,2,Yes,1,29,0,3
242,36,1,9,Clothing,88,7,M,Peach,Winter,4.1,1,4,2,Yes,1,43,5,1
243,55,1,4,Outerwear,85,31,L,Gray,Summer,4.3,1,2,5,Yes,1,40,3,2
244,25,1,12,Accessories,100,16,M,Olive,Winter,2.8,1,2,0,Yes,1,4,3,4
245,53,1,1,Accessories,42,36,S,Indigo,Spring,4.9,1,3,0,Yes,1,39,4,6
246,49,1,14,Footwear,53,38,L,Charcoal,Summer,3.3,1,1,3,Yes,1,45,5,3
247,35,1,22,Accessories,86,27,XL,Beige,Spring,3.2,1,2,1,Yes,1,20,5,1
248,29,1,23,Clothing,66,25,XL,Brown,Spring,4.4,1,2,4,Yes,1,14,3,6
249,47,1,1,Accessories,100,37,M,Blue,Winter,4.8,1,5,1,Yes,1,33,4,6
250,53,1,7,Accessories,47,1,S,Teal,Fall,4.2,1,1,4,Yes,1,18,2,0
251,33,1,19,Clothing,25,23,L,Black,Fall,4.0,1,3,1,Yes,1,9,0,6
252,21,1,7,Accessories,51,49,XL,Gold,Winter,2.5,1,4,4,Yes,1,34,4,0
253,32,1,18,Clothing,41,7,M,Violet,Summer,3.9,1,1,2,Yes,1,33,5,3
254,52,1,3,Footwear,73,35,L,Cyan,Winter,4.9,1,4,0,Yes,1,15,0,1
255,67,1,22,Accessories,42,13,M,White,Winter,3.5,1,2,5,Yes,1,4,4,1
256,43,1,15,Accessories,20,19,M,Charcoal,Spring,4.2,1,3,2,Yes,1,25,3,0
257,58,1,12,Accessories,30,40,XL,Violet,Spring,4.7,1,5,1,Yes,1,20,2,2
258,20,1,7,Accessories,53,47,M,Red,Summer,4.5,1,4,1,Yes,1,5,2,5
259,61,1,6,Accessories,74,0,S,Lavender,Spring,2.8,1,5,1,Yes,1,16,1,5
260,32,1,11,Clothing,57,17,M,Gold,Fall,2.9,1,2,4,Yes,1,13,3,0
261,38,1,8,Accessories,57,25,S,Red,Winter,3.2,1,0,0,Yes,1,11,2,2
262,21,1,11,Clothing,77,4,L,Magenta,Winter,4.9,1,1,4,Yes,1,21,2,0
263,37,1,13,Clothing,40,10,M,Teal,Summer,3.7,1,1,3,Yes,1,6,3,0
264,27,1,18,Clothing,46,14,M,Purple,Summer,4.3,1,2,5,Yes,1,29,5,4
265,36,1,13,Clothing,78,5,S,Charcoal,Fall,3.9,1,5,5,Yes,1,15,1,0
266,32,1,0,Accessories,59,21,M,Gray,Spring,3.2,1,5,0,Yes,1,17,0,1
267,51,1,12,Accessories,75,17,L,White,Summer,3.1,1,1,1,Yes,1,32,2,6
268,64,1,23,Clothing,54,19,M,Olive,Spring,3.9,1,5,0,Yes,1,42,5,0
269,68,1,17,Footwear,42,9,M,Charcoal,Spring,2.6,1,5,5,Yes,1,21,1,4
270,68,1,2,Clothing,44,9,M,Charcoal,Winter,3.3,1,4,3,Yes,1,9,1,1
271,33,1,11,Clothing,52,33,XL,Orange,Fall,4.6,1,3,2,Yes,1,16,0,0
272,65,1,22,Accessories,69,19,XL,Yellow,Summer,4.6,1,2,1,Yes,1,42,2,3
273,48,1,12,Accessories,26,36,M,Beige,Summer,4.4,1,4,0,Yes,1,37,3,1
274,69,1,4,Outerwear,33,33,S,Silver,Spring,4.2,1,1,1,Yes,1,32,3,5
275,59,1,12,Accessories,32,19,M,Indigo,Spring,3.0,1,2,1,Yes,1,28,1,1
276,48,1,0,Accessories,85,45,XL,Lavender,Winter,4.0,1,3,1,Yes,1,13,2,6
277,25,1,19,Clothing,30,40,XL,Turquoise,Fall,3.5,1,3,1,Yes,1,11,0,3
278,29,1,16,Clothing,29,9,M,Green,Winter,3.0,1,2,5,Yes,1,36,0,1
